Title,Year,Rating,TotalVotes,Genre1,Genre2,Genre3,MetaCritic,Runtime,Budget,CVotes01,CVotes02,CVotes03,CVotes04,CVotes05,CVotes06,CVotes07,CVotes08,CVotes09,CVotes1000,CVotes1829,CVotes1829F,CVotes1829M,CVotes3044,CVotes3044F,CVotes3044M,CVotes45A,CVotes45AF,CVotes45AM,CVotesFemale,CVotesMale,CVotesU18,CVotesU18F,CVotesU18M,CVotesUS,CVotesnUS,Votes1000,Votes1829,Votes1829F,Votes1829M,Votes3044,Votes3044F,Votes3044M,Votes45A,Votes45AF,Votes45AM,VotesF,VotesIMDB,VotesM,VotesU18,VotesU18F,VotesU18M,VotesUS,VotesnUS,CVotes10
The Town,2010,7.6,"297,426",Crime,Drama,Thriller,74,125 min,"$37,000,000 ",1533,824,1410,2970,8688,28025,83600,103949,42261,687,113373,14345,98021,116868,12897,102678,20721,2868,17520,31345,226697,313,38,271,56681,156963,7,7.7,7.4,7.7,7.5,7.3,7.5,7.4,7.5,7.4,7.4,7.6,7.6,7.8,7.2,7.8,7.8,7.5,24170
The Wolf of Wall Street,2013,8.2,"881,984",Biography,Comedy,Crime,75,180 min,"$100,000,000 ",9689,4258,5854,8674,18682,46715,129164,250667,236650,730,360841,70874,286627,227096,34712,189110,39996,6629,32676,123698,559564,3622,757,2842,89006,366829,7.8,8.4,7.9,8.5,8,7.7,8.1,7.6,7.5,7.6,7.8,7.8,8.2,8.6,8,8.7,8.1,8.1,171660
Toy Story 3,2010,8.3,"596,385",Animation,Adventure,Comedy,92,103 min,"$200,000,000 ",6586,2119,2932,4859,11850,31291,88289,158704,149992,769,260519,58366,199962,169886,27658,140253,32457,5806,26171,98386,389014,3202,776,2405,105490,267692,8.1,8.4,8.4,8.5,8.2,8.3,8.2,8.1,8.1,8.1,8.3,8.1,8.3,8.2,8,8.3,8.5,8.3,139773
True Grit,2010,7.6,"257,670",Adventure,Drama,Western,80,110 min,"$38,000,000 ",1672,779,1305,2678,7191,23055,67175,91825,40901,747,89394,11720,76864,104201,11163,91807,25641,3369,21885,27125,197105,381,35,340,53749,137672,7.3,7.7,7.6,7.7,7.6,7.5,7.6,7.7,7.7,7.7,7.6,7.8,7.7,7.8,7.5,7.8,7.9,7.6,21094
Tucker and Dale vs Evil,2010,7.6,"138,624",Comedy,Horror,,65,,"Opening Weekend:         52,843              (USA)      (30 September 2011)",848,479,855,1684,4588,13456,35863,44460,19818,540,52889,7232,45169,56379,6156,49634,8861,1072,7645,15113,106144,219,20,198,26213,73918,7.1,7.6,7.6,7.6,7.5,7.7,7.5,7.5,7.7,7.4,7.7,7.5,7.5,7.7,8.2,7.7,7.7,7.5,16572
Tyrannosaur,2011,7.6,"26,016",Drama,,,65,,Opening Weekend:         804              (USA)      (18 November 2011),251,111,146,310,755,2468,6754,9078,4083,2231,5920,12497,1338,10628,3311,1724,2784,4,480,3649,19827,6,7314,6,18173,,7.4,7.6,7.5,7.6,7.5,7.5,7.6,7.5,5.8,7.4,7.6,6.5,7.6,6,7.6,6,7.6,,2060
Warrior,2011,8.2,"361,049",Action,Drama,Sport,71,140 min,"$25,000,000 ",2479,1050,1205,2353,5727,16668,52972,106673,96953,586,153824,16000,136536,117636,11019,105144,15201,1990,12960,31075,270734,673,84,583,45342,176397,7.1,8.4,8.4,8.4,8,8,8,7.7,7.5,7.7,8.2,7.8,8.2,8.5,8.7,8.5,8.2,8.1,74983
What We Do in the Shadows,2014,7.6,"87,975",Comedy,Horror,,76,,"Opening Weekend:         128,520              (USA)      (20 February 2015)",781,450,721,1200,2802,7696,20735,28608,14507,389,32406,8125,23869,31707,5689,25592,6013,1138,4740,15840,57028,268,56,209,12341,45062,6.8,7.7,7.9,7.7,7.5,7.8,7.4,7.3,7.7,7.3,7.8,7.7,7.5,7.9,8,7.9,7.7,7.5,10485
Whiplash,2014,8.5,"492,285",Drama,Music,,88,107 min,"$3,300,000 ",2723,1263,1859,2937,6031,16577,56007,132656,161864,590,205839,41944,161853,123712,19018,102839,23345,3812,19072,71066,308900,2878,660,2200,49868,213952,8,8.6,8.5,8.7,8.3,8.2,8.3,8.1,8.2,8.1,8.4,8.7,8.5,9,8.9,9.1,8.6,8.4,110404
Wreck-It Ralph,2012,7.7,"295,125",Animation,Adventure,Comedy,72,,"Opening Weekend:         49,038,712              (USA)      (2 November 2012)",1226,703,1190,2724,7748,24894,67934,96477,50262,614,120962,29003,90759,90203,14148,74767,13706,2112,11356,50202,190983,1663,467,1182,44962,129487,7.2,7.9,7.9,7.9,7.6,7.7,7.6,7.4,7.5,7.4,7.8,7.4,7.7,7.9,8,7.9,7.9,7.6,41980
